,Question,Answer,Please give an example of your experience in understanding and framing the problem to be solved in Discovery.,Outcome,Date,Dept,Bid,Winner,Applications,Score notes,Other notes
1," With examples, provide evidence of your experience in working with a multi-disciplinary team on agile projects of similar size, complexity and timelines as outlined in the Government Service Standard"," Marvell Consulting has supplied a multidisciplinary agile team of ten members over two years to research, design and deliver a multi-tiered e-licensing system for regulating the use of Animals in Science (ASL) for the Home Office (HO). The end users of the service are establishments from academia and industry in the UK. The service has passed three alpha assessments and is currently in private Beta. The existing underperforming e-licensing system will be replaced on time at the end of August, delivering a considerable investment and cost saving for the HO. A further year of developments is also being planned.",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
2," With evidence, provide details in delivering and supporting a high volume, transactional, web-based service to the Digital Service Standard, including compliance with WCAG 2.1 AA accessibility guidelines and GDPR"," For the BRP Enquiries service we tested prototypes with visa holders to ensure that they could succeed the first time. We conducted accessibility testing so that components of the implementation could be used across a range of assistive devices. As a result, we implemented an accessible country selector so that screen reader users can complete a form in five minutes.
Our solution was GDPR compliant. Only the necessary personal information was shared securely with UKVI case workers in order to allow the processing of the user’s enquiry. The service passed a live assessment and became a benchmark for HO services. ",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
3," With examples, provide details of developing and delivering secure/scalable and robust cloud-based services including a continuous-integration(CI) pipeline, live service monitoring/alerting and knowledge of system security risks and pragmatic mitigation"," For the life event service at HMPO we developed an API/frontend https://github.com/UKHomeOffice/lev-api that is used to look up the validity of a birth record. The service is used by several government departments and runs on AWS and it’s managed database RDS services. Continuous Integration with auto deployments from merged pull requests into a dev environment while pre-production and production are managed through tagging to ensure deployment consistency.
Monitoring and alerting via numerous channels; externally using pingdom, internally for service health with sysdig while containers are monitored through Claire.
The result is secure service with above 99.999% service uptime.",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
4," With examples, provide evidence of your expertise in using Terraform for infrastructure-as-code"," Our devops partner while working on the central Home Office container platform, brokered developer requests to AWS so that they did not need to be given console access. As such, all requests for AWS services that projects were dependant on, were managed by our team, which were serviced by creating terraform modules, such as this one https://github.com/UKHomeOffice/acp-tf-s3 for creating s3 buckets with sensible defaults for KMS encryption, lifecycle policies etc. By only using tagged versions of the module, we were able to ensure speed of delivery and consistency for all buckets created. More examples can be found here: https://github.com/UKHomeOffice?q=acp-tf-",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
5," With examples, provide evidence of your experience of building secure RESTful APIs with comprehensive test coverage"," The ASL project is architected with a number of microservices providing data via RESTful, JSON-over-HTTP APIs, communicating over secure SSL connections, and authenticated using OAuth2 based identity services.
These are backed by multiple tiers of testing, from unit testing to full data-driven integration testing to ensure comprehensive test coverage at all levels of the application.
Our team also have experience building and contributing to a number of open-source testing tools.",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
6," With examples, provide details of your expertise in migrating and cleansing large amounts of data from legacy servers to cloud-based storage using an Extract, Transform and Load (ETL) procedure"," During delivery of ASL, the incumbent supplier provided Marvell with a copy of the legacy schema and data, but no access to the legacy source code forcing us to infer context from the data itself. This allowed us to create a map from the legacy schema to our new schema, ignoring irrelevant tables.
We scripted the extract of all related data, and then copy it to a new schema using upserts so that we could replay the script without having to drop the database for minor changes. Testing locally using fake data, and then executing on production to validate consistency.",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
7," With examples, provide details of your understanding of the challenges associated with working with address data and UPRNs, and approaches to overcoming these challenges"," To ensure continued service delivery of 8 government services we deployed and manage an address lookup service which was created by MOJ https://github.com/UKHomeOffice/postcodeinfo.
Our management of this service has given us knowledge of AddressBase and the administration of this data. Limitations are largely from the Ordnance Survey service such as no ability to diff datasets, data integrity issues, disjointed user experience to obtain the data.
To ensure successful data loads into postcodeinfo a dry run is performed in a test environment before running against production.
UPRNs would reduce the need to cleanse data before load by ensuring the data is unique.",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
8," Evidence of With examples, provide details of your experience in taking on a beta where you did not complete the alpha"," We took on the BRP Enquiries service in Beta. A technical lead and a research lead worked with a team from HO Digital and UKVI.
We reviewed previous research against the service standard and identified gaps for Beta. We tested with the back office team to ensure that the information was captured in the right format. We implemented analytics to identify where users drop out. We tested extensively to ensure the service was usable by all citizens, including refugees. We iterated the start page working with GDS so that users are routed appropriately to the forms. ",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
9," Evidence of With examples, provide details of your experience of bringing an agile mindset and principles to teams who are new to Agile"," For the Animals in Science Licensing project Marvell Consulting worked with ASRU who were new to Agile. We implemented agile ceremonies and engaged ASRU through: 
* Participation in research 
* Communication of sprint goals and progress through weekly reports
* Regular Show & Tells of evidence based design, iterative delivery and sharing of lessons learnt (failures and successes)
* Presenting work at the quarterly ASRU conference
* Building trust and managing diverse stakeholder groups 
* Managing risk through a register and tracking delivery using a burnup chart 
* Service manager attending research sessions and design crits: 
‘Your approach to delivery and engagement with ASRU has been exemplar’ ",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
10," Evidence of With examples, provide details of your experience of publishing data to open data standards"," Marvell Consulting assisted with the delivery of the Gov.UK Performance Platform https://www.gov.uk/performance. A service to enable government stakeholders to make informed decisions and develop KPIs based on real data. 
This service published all of the data from its service dashboards as timeseries data in JSON format.",,Lost,05/09/2019,MHCLG,Beta development of a new Energy Performance of Buildings Register service,MadeTech,10,,
